id,area,perimetro,centroide_x,centroide_y,diametro_equivalente,excentricidad,orientacion,solidez,relacion_aspecto,bbox_x1,bbox_y1,bbox_x2,bbox_y2
39,137.0,49.89949493661166,747.1678832116788,10.89051094890511,13.207339536360731,0.69739677493751,-0.4011447227620645,0.8954248366013072,0.8571428571428571,742,5,754,19
40,116.0,43.65685424949238,54.689655172413794,30.224137931034484,12.153015559492998,0.7693777960928966,-0.16883362792298476,0.8923076923076924,0.6666666666666666,50,24,60,39
41,139.0,50.384776310850235,771.7769784172662,45.97122302158273,13.303394180365686,0.9047217304821911,0.3537313464257497,0.9025974025974026,0.55,766,37,777,57
42,125.0,44.48528137423857,1293.232,243.04,12.6156626101008,0.668620652437892,1.5660408873312683,0.9057971014492754,1.1666666666666667,1286,238,1300,250
43,105.0,43.69238815542512,95.20952380952382,632.2476190476191,11.562445770562215,0.7559466153379706,1.4986609642372648,0.8333333333333334,1.3636363636363635,89,627,104,638
44,143.0,53.55634918610404,21.958041958041957,863.0,13.493452297211721,0.8228590542110183,-1.0837512449459157,0.8218390804597702,1.3846153846153846,15,858,33,871
45,100.0,39.970562748477136,72.63,901.57,11.283791670955125,0.7568302527959783,-0.9282892578975189,0.8620689655172413,0.8571428571428571,67,895,79,909
46,135.0,48.76345596729059,60.79259259259259,908.3111111111111,13.110581167104948,0.8166224785793978,-0.9738169340953915,0.8766233766233766,1.0,54,901,69,916
47,122.0,46.384776310850235,85.05737704918033,917.655737704918,12.463355264843006,0.8032891060591671,-1.0452787722940249,0.8652482269503546,1.1428571428571428,78,911,94,925
48,137.0,53.3492424049175,761.3357664233577,16.145985401459853,13.207339536360731,0.7778278488877546,0.27375681628819204,0.8058823529411765,0.7647058823529411,755,9,768,26
49,134.0,47.55634918610404,1210.2462686567164,433.2014925373134,13.061933202803933,0.8067041410505684,0.41463073894534436,0.8535031847133758,0.8125,1204,426,1217,442
50,112.0,43.31370849898476,34.0625,630.3214285714286,11.941642642883693,0.8721829910679203,-1.350884331661923,0.8888888888888888,1.6,27,626,43,636
51,135.0,49.55634918610404,56.17037037037037,846.3185185185185,13.110581167104948,0.8260516041789862,-0.9265701419678668,0.8653846153846154,1.0,49,839,64,854
52,122.0,48.970562748477136,1208.9098360655737,492.4344262295082,12.463355264843006,0.907037804344041,-1.0890390103601584,0.8840579710144928,1.5,1200,487,1218,499
53,170.0,55.31370849898475,78.66470588235295,634.7352941176471,14.712264360219255,0.92227232410537,-1.435593393988221,0.9239130434782609,2.2,68,630,90,640
54,107.0,44.86396103067892,58.45794392523364,10.42056074766355,11.67204486311899,0.8462016778361552,-0.55424621202862,0.8359375,0.8571428571428571,52,3,64,17
55,107.0,43.14213562373095,876.8504672897196,55.80373831775701,11.67204486311899,0.8854878121284466,-0.3270508174756546,0.8629032258064516,0.5882352941176471,872,48,882,65
56,135.0,52.14213562373095,167.27407407407406,60.681481481481484,13.110581167104948,0.9471957101734455,-1.4297496380885015,0.8881578947368421,2.4444444444444446,158,57,180,66
57,131.0,51.89949493661167,6.198473282442748,700.1832061068702,12.914889870235298,0.7626297993446036,1.4085933805688025,0.81875,1.25,0,694,15,706
58,111.0,44.970562748477136,249.6216216216216,866.4954954954954,11.888212206450685,0.8773088690536562,0.8583190117606019,0.8409090909090909,1.0,243,860,257,874
59,106.0,44.38477631085023,749.6981132075472,957.9528301886793,11.617374563210365,0.8659412406915158,-0.7078943900502418,0.8760330578512396,0.75,744,950,756,966
60,104.0,44.48528137423857,516.9903846153846,965.5,11.507254783503184,0.940159520057656,-0.10715819979345981,0.9043478260869565,0.3888888888888889,514,957,521,975
61,105.0,42.86396103067892,487.87619047619046,969.6380952380953,11.562445770562215,0.5996219257069528,0.8778354296733828,0.8677685950413223,1.0,483,963,495,975
62,119.0,47.31370849898476,829.8403361344538,4.588235294117647,12.309163489997376,0.854669951266664,-1.2812461706280973,0.8561151079136691,1.4545454545454546,822,0,838,11
